tienda,mes,center_name,region,zona,postal_code_area,fase,model,estado_veterana,n_dias,uds_dia_media,uds_total_mes,tiempo_efectivo_min,tiempo_con_paradas_min,tiempo_de_paradas_min,prod_efectiva_min_ud,prod_conparadas_min_ud,dif_prod_efectiva_vs_obj,dif_prod_conparadas_vs_obj,caudal_optimo_h,caudal_efectivo_h,caudal_real_h,diferencia_caudal_h,caudal_optimo_h_total,caudal_efectivo_h_total,caudal_real_h_total,diferencia_caudal_h_total
2004,1/7/2025,2004 - C. C. Pont De La Barca (Girona),R02,Z24,C. C. Pont De La Barca (Girona),Veterana,NTC90,Veterana,26,4.887,127.062,"1.550,77","1.607,73","56,96","0,3197","0,3311","0,0047","0,0161","25,66","25,85","26,8","1,14","667,08",672,"696,68","29,61"
2183,1/7/2025,2183 - María Auxiliadora (Granada),R06,Z18,María Auxiliadora (Granada),Veterana,NTC90,Veterana,27,"3.057,85",82.562,"1.030,33","1.080,85","50,52","0,3348","0,3514","0,0198","0,0364","16,05","17,17","18,01","1,96","433,45","463,65","486,38","52,93"
2231,1/7/2025,2231 - Sangonera La Verde (Murcia),R07,Z48,Sangonera La Verde (Murcia),Veterana,NTC30,No veterana,27,"1.851,74",49.997,"582,11","597,15","15,04","0,3164","0,3244","0,0014","0,0094","9,72","9,7","9,95","0,231","262,48","261,95","268,72","6,23"
2275,1/7/2025,2275 - Avda. Salamanca (Plasencia),R10,Z31,Avda. Salamanca (Plasencia),Veterana,NTC60,Veterana,27,"1.182,3",31.922,"480,41","500,96","20,56","0,4289","0,4466","0,1139","0,1316","6,21","8,01","8,35","2,14","167,59","216,18","225,43","57,84"
2316,1/7/2025,2316 - Barrio De Santa Bárbara (Soria),R10,Z23,Barrio De Santa Bárbara (Soria),Veterana,CIERRE,Veterana,27,"1.471,63",39.734,"561,44","588,07","26,63","0,3907","0,4081","0,0757","0,0931","7,73","9,36","9,8","2,08","208,6","252,65","264,63","56,03"
2319,1/7/2025,2319 - Villanueva De La Serena (Villanueva De La Serena),R10,Z31,Villanueva De La Serena (Villanueva De La Serena),Veterana,NTC30,No veterana,26,"1.442,46",37.504,"522,73","545,42","22,69","0,3672","0,3853","0,0522","0,0703","7,57","8,71","9,09","1,52","196,9","226,52","236,35","39,45"
2343,1/7/2025,2343 - Prolongación Ángel Bruna (Cartagena),R07,Z21,Prolongación Ángel Bruna (Cartagena),Veterana,NTC150,Veterana,27,"9.478,44",255.918,"2.666,56","2.736,26","69,7","0,282","0,2894",-0,"-0,03","49,76","44,44","45,6","-4,16","1.343,57","1.199,95","1.231,32","-112,25"
2465,1/7/2025,2465 - Paseo Saladar (Denia),R03,Z40,Paseo Saladar (Denia),Veterana,NTC120,Veterana,27,"5.549,26",149.830,"2.086,3","2.289,48","203,19","0,3777","0,4145","0,0627","0,0995","29,13","34,77","38,16","9,02","786,61","938,83","1.030,27","243,66"
2528,1/7/2025,2528 - Palma Nova (Calvia),R04,Z11,Palma Nova (Calvia),Veterana,NTC150,No veterana,27,"3.972,74",107.264,"1.578,41","1.654,19","75,78","0,4001","0,4197","0,0851","0,1047","20,86","26,31","27,57","6,71","563,14","710,28","744,38","181,25"
2549,1/7/2025,2549 - Playa Las Américas (Adeje),R05,Z54,Playa Las Américas (Adeje),Veterana,CIERRE,Veterana,27,"2.963,33",80.010,"891,78","938,33","46,56","0,3032","0,3196","-0,01","0,0046","15,56","14,86","15,64","0,081","420,05","401,3","422,25","2,2"
2581,1/7/2025,2581 - Pasadizo Toledo (Tomelloso),R10,Z07,Pasadizo Toledo (Tomelloso),Veterana,NTC60,Veterana,27,2.309,62.343,"844,22","894,44","50,22","0,3689","0,3911","0,0539","0,0761","12,12","14,07","14,91","2,79","327,3","379,9","402,5","75,2"
2582,1/7/2025,2582 - Avda. La Paz (Logroño),R08,Z52,Avda. La Paz (Logroño),Veterana,NTC30,Veterana,27,1.004,27.108,"381,85","387,44","5,59","0,3929","0,398","0,0779","0,083","5,27","6,36","6,46","1,19","142,32","171,83","174,35","32,03"
2595,1/7/2025,2595 - C. C. Martiánez (Puerto De La Cruz),R05,Z54,C. C. Martiánez (Puerto De La Cruz),Veterana,NTC60,Veterana,27,"2.712,52",73.238,"890,7","949,52","58,81","0,3278","0,3494","0,0128","0,0344","14,24","14,85","15,82","1,58","384,5","400,82","427,28","42,78"
2623,1/7/2025,2623 - Atarfe (Atarfe),R06,Z47,Atarfe (Atarfe),Veterana,NTC60,Veterana,25,"1.969,32",49.233,"654,88",677,"22,12","0,3346","0,346","0,0196","0,031","10,34","10,91","11,28","0,944","258,47","272,87","282,08","23,61"
2637,1/7/2025,2637 - Valls (Valls),R02,Z05,Valls (Valls),Veterana,NTC30,No veterana,12,"490,33",5.884,275,"297,58","22,58","0,6298","0,6676","0,3148","0,3526","2,57","4,58","4,96","2,38","30,89",55,"59,52","28,63"
2717,1/7/2025,2717 - Los Olivos (Adeje),R05,Z54,Los Olivos (Adeje),Veterana,NTC150,Veterana,27,"6.356,33",171.621,"1.913,07","2.025,67","112,59","0,3022","0,3203","-0,01","0,0053","33,37","31,89","33,76","0,39","901,01","860,88","911,55","10,54"
2749,1/7/2025,2749 - Pardinyes (Lleida),R08,Z44,Pardinyes (Lleida),Veterana,NTC60,Veterana,27,"2.961,33",79.956,"921,3","945,67","24,37","0,3113","0,3197",-0,"0,0047","15,55","15,36","15,76","0,214","419,77","414,58","425,55","5,78"
2829,1/7/2025,2829 - Estació D'autobussos (Figueres),R02,Z24,Estació D'autobussos (Figueres),Veterana,NTC60,Veterana,27,"1.891,81",51.079,"751,89","807,26","55,37","0,399","0,4284","0,084","0,1134","9,93","12,53","13,45","3,52","268,16","338,35","363,27","95,1"
2875,1/7/2025,2875 - C/ Mestre Serrano (Benicarlo),R03,Z13,C/ Mestre Serrano (Benicarlo),Veterana,NTC90,Veterana,27,"3.841,11",103.710,"1.393,63","1.456,11","62,48","0,3649","0,381","0,0499","0,066","20,17","23,23","24,27","4,1","544,48","627,13","655,25","110,77"
3004,1/7/2025,3004 - La Cuesta-Taco (San Cristobal De La Laguna),R05,Z12,La Cuesta-Taco (San Cristobal De La Laguna),Veterana,NTC90,Veterana,27,"4.355,48",117.598,"1.339,85",1.406,"66,15","0,3085","0,324",-0,"0,009","22,87","22,33","23,43","0,567","617,39","602,93","632,7","15,31"
3078,1/7/2025,3078 - Santa Olaya (Gijon),R09,Z32,Santa Olaya (Gijon),Veterana,NTC90,Veterana,27,"5.036,81",135.994,"1.615,74","1.669,59","53,85","0,3213","0,332","0,0063","0,017","26,44","26,93","27,83","1,38","713,97","727,08","751,32","37,35"
3087,1/7/2025,3087 - L'ànec Blau (Castelldefels),R02,Z56,L'ànec Blau (Castelldefels),Veterana,NTC120,No veterana,27,"4.889,48",132.016,"1.892,26","2.025,19","132,93","0,3882","0,4153","0,0732","0,1003","25,67","31,54","33,75","8,08","693,08","851,52","911,33","218,25"
3118,1/7/2025,3118 - Aguas Vivas (Guadalajara),R10,Z23,Aguas Vivas (Guadalajara),Veterana,NTC30,Veterana,27,"1.633,7",44.110,540,"554,56","14,56","0,3347","0,3438","0,0197","0,0288","8,58",9,"9,24","0,666","231,58",243,"249,55","17,97"
3120,1/7/2025,3120 - Las Ramblas (Las Palmas De Gran Canaria),R05,Z28,Las Ramblas (Las Palmas De Gran Canaria),Veterana,NTC90,Veterana,27,"4.051,19",109.382,"1.506,33","1.626,19","119,85","0,3716","0,4016","0,0566","0,0866","21,27","25,11","27,1","5,83","574,26","677,85","731,78","157,53"
